04/03/2020 07:20:31 PM DEBUG Parsing documents.
04/03/2020 07:20:31 PM DEBUG Created document: Form ID - 996511, Contract Number - <Element 'v_vertragsnummer' at 0x1104979a0>
04/03/2020 07:20:31 PM DEBUG Created document: Form ID - 996511, Contract Number - <Element 'v_vertragsnummer' at 0x1104ab090>
04/03/2020 07:20:31 PM INFO Form Ids match.
04/03/2020 07:20:31 PM INFO Contract numbers match.
04/03/2020 07:20:31 PM DEBUG Comparing documents.
04/03/2020 07:20:31 PM ERROR Tags match: formular formular
04/03/2020 07:20:31 PM ERROR Tags match: v_mehrwertsteuer_prozent v_mehrwertsteuer_prozent
04/03/2020 07:20:31 PM ERROR Tags match: v_tarif_gebuehren_pro_tag v_tarif_gebuehren_pro_tag
04/03/2020 07:20:31 PM ERROR Tags match: v_abrechnungsart_kurz v_abrechnungsart_kurz
04/03/2020 07:20:31 PM ERROR Tags match: v_abrechnungsart_lang v_abrechnungsart_lang
04/03/2020 07:20:31 PM ERROR Tags match: v_erste_von_medium_tarif v_erste_von_medium_tarif
04/03/2020 07:20:31 PM ERROR Tags match: v_ind_abschlag_betrag v_ind_abschlag_betrag
04/03/2020 07:20:31 PM ERROR Tags match: v_ind_abschlag_gilt_bis v_ind_abschlag_gilt_bis
04/03/2020 07:20:31 PM ERROR Tags match: v_ind_abschlag_toleranz_proz v_ind_abschlag_toleranz_proz
04/03/2020 07:20:31 PM ERROR Tags match: v_lfd_nr v_lfd_nr
04/03/2020 07:20:31 PM ERROR Tags match: v_lief_vertragsnummer v_lief_vertragsnummer
04/03/2020 07:20:31 PM ERROR Tags match: v_lief_vertragsnummer_1 v_lief_vertragsnummer_1
04/03/2020 07:20:31 PM ERROR Tags match: v_lief_vertrag_bezeichnung v_lief_vertrag_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_vertragsart v_vertragsart
04/03/2020 07:20:31 PM ERROR Tags match: v_energieart v_energieart
04/03/2020 07:20:31 PM ERROR Tags match: v_lief_gueltig_vom v_lief_gueltig_vom
04/03/2020 07:20:31 PM ERROR Tags match: v_lief_gueltig_bis v_lief_gueltig_bis
04/03/2020 07:20:31 PM ERROR Tags match: v_lief_zeitraum_tage v_lief_zeitraum_tage
04/03/2020 07:20:31 PM ERROR Tags match: v_kuendigungsfrist v_kuendigungsfrist
04/03/2020 07:20:31 PM ERROR Tags match: v_k_frist_zeiteinheit v_k_frist_zeiteinheit
04/03/2020 07:20:31 PM ERROR Tags match: v_abre_startguthaben v_abre_startguthaben
04/03/2020 07:20:31 PM ERROR Tags match: v_abre_datum_startguthaben v_abre_datum_startguthaben
04/03/2020 07:20:31 PM ERROR Tags match: v_abre_datum_startguth_endrech v_abre_datum_startguth_endrech
04/03/2020 07:20:31 PM ERROR Tags match: v_abre_freimenge v_abre_freimenge
04/03/2020 07:20:31 PM ERROR Tags match: v_abre_einm_freimenge v_abre_einm_freimenge
04/03/2020 07:20:31 PM ERROR Tags match: v_abre_datum_einm_freimenge v_abre_datum_einm_freimenge
04/03/2020 07:20:31 PM ERROR Tags match: v_abre_zpkt_pk v_abre_zpkt_pk
04/03/2020 07:20:31 PM ERROR Tags match: v_abre_zpkt_nummer v_abre_zpkt_nummer
04/03/2020 07:20:31 PM ERROR Tags match: v_vtr_naechster_kuendigungstermin v_vtr_naechster_kuendigungstermin
04/03/2020 07:20:31 PM ERROR Tags match: v_must_lfd_nr v_must_lfd_nr
04/03/2020 07:20:31 PM ERROR Tags match: v_jahrespauschale_von v_jahrespauschale_von
04/03/2020 07:20:31 PM ERROR Tags match: v_jahrespauschale_bis v_jahrespauschale_bis
04/03/2020 07:20:31 PM ERROR Tags match: v_jahrespauschale v_jahrespauschale
04/03/2020 07:20:31 PM ERROR Tags match: block_vbrst_parameter block_vbrst_parameter
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: preiszusammenstellung preiszusammenstellung
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: v_tarifzusamst_formularbez v_tarifzusamst_formularbez
04/03/2020 07:20:31 PM ERROR Tags match: v_tarifzusamst_kurzbezeichnung v_tarifzusamst_kurzbezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_preiszusamst_bezeichnung v_preiszusamst_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_preiszusamst_kurzbezeichnung v_preiszusamst_kurzbezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_preiszusamst_formularbez v_preiszusamst_formularbez
04/03/2020 07:20:31 PM ERROR Tags match: v_preiszusamst_ap_als_gesamtpreis v_preiszusamst_ap_als_gesamtpreis
04/03/2020 07:20:31 PM ERROR Tags match: v_przusamst_bezeichnung v_przusamst_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_przusamst_kurzbezeichnung v_przusamst_kurzbezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_przusamst_kommentar v_przusamst_kommentar
04/03/2020 07:20:31 PM ERROR Tags match: v_bestpreis_kombination v_bestpreis_kombination
04/03/2020 07:20:31 PM ERROR Tags match: v_przusamst_art_kennzeichen v_przusamst_art_kennzeichen
04/03/2020 07:20:31 PM ERROR Tags match: v_przusamst_art v_przusamst_art
04/03/2020 07:20:31 PM ERROR Tags match: v_przusamst_benutzungsdauergrenze v_przusamst_benutzungsdauergrenze
04/03/2020 07:20:31 PM ERROR Tags match: v_przusamst_nn_kategorie v_przusamst_nn_kategorie
04/03/2020 07:20:31 PM ERROR Tags match: v_przusamst_ka_enthalten_j_n v_przusamst_ka_enthalten_j_n
04/03/2020 07:20:31 PM ERROR Tags match: block_arbeitspreis block_arbeitspreis
04/03/2020 07:20:31 PM ERROR Tags match: block_arbeitspreis block_arbeitspreis
04/03/2020 07:20:31 PM ERROR Tags match: block_arbeitspreis block_arbeitspreis
04/03/2020 07:20:31 PM ERROR Tags match: block_arbeitspreis block_arbeitspreis
04/03/2020 07:20:31 PM ERROR Tags match: block_arbeitspreis block_arbeitspreis
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bezeichnung v_ap_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bezeichnung v_ap_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bezeichnung v_ap_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bezeichnung v_ap_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bezeichnung v_ap_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_kurzbezeichnung v_ap_kurzbezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_kurzbezeichnung v_ap_kurzbezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_kurzbezeichnung v_ap_kurzbezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_kurzbezeichnung v_ap_kurzbezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_kurzbezeichnung v_ap_kurzbezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bezeichnung_lang v_ap_bezeichnung_lang
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bezeichnung_lang v_ap_bezeichnung_lang
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bezeichnung_lang v_ap_bezeichnung_lang
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bezeichnung_lang v_ap_bezeichnung_lang
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bezeichnung_lang v_ap_bezeichnung_lang
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bezeichnung_druck v_ap_bezeichnung_druck
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bezeichnung_druck v_ap_bezeichnung_druck
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bezeichnung_druck v_ap_bezeichnung_druck
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bezeichnung_druck v_ap_bezeichnung_druck
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bezeichnung_druck v_ap_bezeichnung_druck
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_von v_ap_von
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_von v_ap_von
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_von v_ap_von
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_von v_ap_von
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_von v_ap_von
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bis v_ap_bis
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bis v_ap_bis
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bis v_ap_bis
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bis v_ap_bis
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_bis v_ap_bis
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preis v_ap_preis
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preis v_ap_preis
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preis v_ap_preis
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preis v_ap_preis
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preis v_ap_preis
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_staffel v_ap_staffel
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_staffel v_ap_staffel
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_staffel v_ap_staffel
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_staffel v_ap_staffel
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_staffel v_ap_staffel
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_zonung v_ap_zonung
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_zonung v_ap_zonung
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_zonung v_ap_zonung
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_zonung v_ap_zonung
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_zonung v_ap_zonung
04/03/2020 07:20:31 PM ERROR Tags match: v_sap_preis v_sap_preis
04/03/2020 07:20:31 PM ERROR Tags match: v_sap_preis v_sap_preis
04/03/2020 07:20:31 PM ERROR Tags match: v_sap_preis v_sap_preis
04/03/2020 07:20:31 PM ERROR Tags match: v_sap_preis v_sap_preis
04/03/2020 07:20:31 PM ERROR Tags match: v_sap_preis v_sap_preis
04/03/2020 07:20:31 PM ERROR Tags match: v_sap_ab v_sap_ab
04/03/2020 07:20:31 PM ERROR Tags match: v_sap_ab v_sap_ab
04/03/2020 07:20:31 PM ERROR Tags match: v_sap_ab v_sap_ab
04/03/2020 07:20:31 PM ERROR Tags match: v_sap_ab v_sap_ab
04/03/2020 07:20:31 PM ERROR Tags match: v_sap_ab v_sap_ab
04/03/2020 07:20:31 PM ERROR Tags match: v_sap_bis v_sap_bis
04/03/2020 07:20:31 PM ERROR Tags match: v_sap_bis v_sap_bis
04/03/2020 07:20:31 PM ERROR Tags match: v_sap_bis v_sap_bis
04/03/2020 07:20:31 PM ERROR Tags match: v_sap_bis v_sap_bis
04/03/2020 07:20:31 PM ERROR Tags match: v_sap_bis v_sap_bis
04/03/2020 07:20:31 PM ERROR Tags match: v_spa_bezeichnung v_spa_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_spa_bezeichnung v_spa_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_spa_bezeichnung v_spa_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_spa_bezeichnung v_spa_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_spa_bezeichnung v_spa_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_preis v_zap_preis
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_preis v_zap_preis
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_preis v_zap_preis
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_preis v_zap_preis
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_preis v_zap_preis
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_ab v_zap_ab
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_ab v_zap_ab
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_ab v_zap_ab
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_ab v_zap_ab
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_ab v_zap_ab
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_bis v_zap_bis
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_bis v_zap_bis
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_bis v_zap_bis
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_bis v_zap_bis
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_bis v_zap_bis
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_bezeichnung v_zap_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_bezeichnung v_zap_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_bezeichnung v_zap_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_bezeichnung v_zap_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_zap_bezeichnung v_zap_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preisart v_ap_preisart
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preisart v_ap_preisart
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preisart v_ap_preisart
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preisart v_ap_preisart
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preisart v_ap_preisart
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preisart_steuer_j_n v_ap_preisart_steuer_j_n
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preisart_steuer_j_n v_ap_preisart_steuer_j_n
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preisart_steuer_j_n v_ap_preisart_steuer_j_n
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preisart_steuer_j_n v_ap_preisart_steuer_j_n
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preisart_steuer_j_n v_ap_preisart_steuer_j_n
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preisart_kategorie v_ap_preisart_kategorie
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preisart_kategorie v_ap_preisart_kategorie
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preisart_kategorie v_ap_preisart_kategorie
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preisart_kategorie v_ap_preisart_kategorie
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preisart_gruppierungsart v_ap_preisart_gruppierungsart
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preisart_gruppierungsart v_ap_preisart_gruppierungsart
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preisart_gruppierungsart v_ap_preisart_gruppierungsart
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preisart_gruppierungsart v_ap_preisart_gruppierungsart
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_preisart_gruppierungsart v_ap_preisart_gruppierungsart
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_pa_bez v_ap_pa_bez
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_pa_bez v_ap_pa_bez
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_pa_bez v_ap_pa_bez
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_pa_bez v_ap_pa_bez
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_pa_bez v_ap_pa_bez
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_ztkp_bez_lt_vertr v_ap_ztkp_bez_lt_vertr
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_ztkp_bez_lt_vertr v_ap_ztkp_bez_lt_vertr
04/03/2020 07:20:31 PM ERROR Tags match: v_ap_ztkp_bez_lt_vertr v_ap_ztkp_bez_lt_vertr
